Abs LFP,Abs HFP,nLFP,nHFP,LF/HF,RMSSD,label
399.6308079321005,1030.815254734218,0.25932040814679513,0.6688959591599797,0.3876842199382663,932.0410724127352,k_pre
441.91731003861776,1290.2760230252404,0.2316051953609788,0.6762229575398016,0.3424982733558655,951.6169409074985,k_pre
494.57397626513205,1338.0314732486647,0.2350085981195096,0.6357975062549197,0.3696280589456797,959.3592663966497,k_pre
386.0742457301748,1127.1150036260606,0.2403699375600126,0.7017421287248911,0.342533143901136,939.5793918595143,k_pre
450.42353990912426,1258.8826591450895,0.23812593027782122,0.6655349415797024,0.3577962859660074,952.2736279352147,k_pre
512.7858065124789,1402.2343728677686,0.24414607156591803,0.6676277096644506,0.3656919388331346,941.9999062944642,k_pre
435.78950731703844,1202.3662574597834,0.24038057790731351,0.6632227049334838,0.3624432277713138,923.6401554993787,k_pre
420.2651730992542,1221.903086840519,0.23583114964680316,0.6856690208268141,0.34394313069945337,907.6095778108709,k_pre
309.4764808127418,1076.884467984099,0.1990035346232006,0.6924720578018065,0.2873813208505775,898.3674874714516,k_pre
535.9433515118857,1346.5633941771032,0.2583136341030136,0.6490157642943768,0.39800825852644345,937.5668061456475,k_pre
502.8344332913042,1416.7553926787268,0.24045280371023084,0.6774850403767689,0.35491972424440266,921.6401762708487,k_pre
525.9657722860071,1263.6181003647202,0.2623644967882178,0.6303233870024465,0.4162379219909851,921.082542763315,k_pre
580.768032334022,1680.3521422750136,0.23508485820251088,0.6801774944627337,0.3456228118635451,936.7621735999708,k_pre
437.59183066916813,1545.2325581276004,0.20389406099965385,0.7199945688742011,0.2831883319876523,923.3498320075194,k_pre
543.582367624533,1708.9565815907192,0.21833164220673001,0.6864080204610773,0.3180785126317015,933.5312873274942,k_pre
461.38209307119996,1828.2121446838494,0.18282712783038954,0.7244467882406614,0.2523679182488891,924.3844515517558,k_pre
523.6321293777415,1614.4518585508577,0.22051084597228152,0.6798745247615525,0.3243405039328686,922.1850866621247,k_pre
380.04203000468306,1345.508979515899,0.21498760719727533,0.7611467499134409,0.2824522435676486,810.6997713963952,k_pre
546.5767241656889,1799.9041507661448,0.21378442524864366,0.7040026721985747,0.3036699059408435,897.0563171373096,k_pre
292.5841293700451,1315.4993184859811,0.17659109021461195,0.7939783313886128,0.22241298437674795,847.5824722841357,k_pre
378.0085103873154,1262.861098380647,0.2183471888403829,0.7294602188843878,0.29932706841000295,854.652425487611,k_pre
506.945648298682,1646.1884927483952,0.2124274938645143,0.6898090497802444,0.30795115537000894,927.3429779062524,k_pre
291.2131139981229,1446.5569244972378,0.15797804987782915,0.7847319745731534,0.20131465901304663,874.1636385103612,k_pre
577.5907843886097,1631.459950040304,0.23696840765293747,0.6693397418378474,0.3540330759417911,915.0180866998827,k_pre
439.2444071713338,1373.9147445504946,0.2258496611769115,0.7064362675462722,0.3197028119201399,921.2088909624606,k_pre
460.72118625188017,1591.5952699953323,0.20763261381399292,0.7172821565502079,0.2894713215962444,928.4134288697671,k_pre
